vehicle_length,vehicle_weight,spoiler_angle,ground_clearance,AWD,mpg
14.69709536,6407.94647,48.78998258,14.64098303,1,49.04918045
12.53420597,5182.080571,90,14.36667939,1,36.76606309
20,8337.981208,78.63232282,12.25371141,0,80
13.42848546,9419.670939,55.93903153,12.98935921,1,18.9414895
15.44997974,3772.666826,26.12816424,15.10396274,1,63.82456769
14.45356979,7286.594508,30.58567612,13.10695343,0,48.54267684
14.10599169,4989.991537,84.27743057,9.37183578,0,36.39512805
15.45397506,5429.759522,75.32816691,16.19095688,1,63.05321536
14.52505888,7122.961664,67.76456883,11.23090709,1,27.20299938
15.47859756,5554.791304,56.90882198,10.92133404,1,48.12008307
14.76930611,5683.380694,38.83529385,12.23192147,0,32.55047214
14.31984441,5981.22901,81.64859494,12.97226408,0,50.3498615
14.68375817,6303.183155,62.37545941,11.63657378,0,39.16440522
14.12852146,10000,59.64194266,13.12574936,1,43.51063348
18.59061937,4182.724158,55.48771086,14.45967972,0,59.15591924
12.88955373,5574.424942,66.376924,15.07253604,1,42.4189204
15.11266397,4943.2566,38.31900704,15.15880035,1,46.50622625
12.91613926,7722.624011,50.32062179,11.64004009,0,31.45087754
13.2729135,7605.956051,60.33571549,17.73106769,0,55.4437358
12.36809307,3246.389465,69.03762639,14.30614936,0,38.72441979
18.06818929,3953.395959,67.57735861,13.16073907,0,70.73307495
14.99541153,5858.382712,66.44288134,8.802440059,1,37.86969703
12.58443963,7052.961659,63.41534478,9.578794507,1,10
14.45502921,5674.915387,89.76751722,9.723294609,0,29.98104076
13.60482902,3841.69671,65.70444667,11.04419433,1,24.16231096
16.41548255,2000,68.84478985,8.620655082,1,25.34868289
18.35134686,2934.916608,68.74392624,9.803952558,1,69.36128664
15.8298778,3470.405928,46.50228233,14.38629594,0,47.79270386
13.53728375,9450.386969,50.97370814,14.81407721,1,47.81198757
12.46095739,4691.651284,44.06755772,13.56843511,0,26.56352469
14.73255537,6701.508161,73.10156629,12.10999421,0,41.69385316
16.96734437,6155.749388,58.31362251,11.28727534,1,51.80616302
18.07294255,6203.635182,76.88427405,11.59188911,1,43.19019227
12.74533188,9671.599209,78.30309962,14.50731439,0,51.24754853
16.05539,4491.869741,59.46004884,9.104128841,1,28.30198424
12,6255.317806,0,18,0,41.05162267
13.67224535,8129.071721,85.78627709,12.62941621,0,43.29013756
13.23372995,5876.150771,23.92350664,12.14404253,1,25.13951441
13.25051144,5405.187645,47.78467962,9.77340381,0,32.26038735
16.83808636,5862.235377,56.1433625,16.40355272,1,73.28485157
13.7819768,6409.310569,40.02585036,13.5609394,1,36.96890245
17.52585011,5404.055988,58.77936058,13.31063127,0,49.67550022
19.73430329,7711.497536,20.54341469,10.35899316,1,63.46680809
16.55917523,8354.279151,50.59282468,12.33820277,1,67.76351034
14.13565403,4438.014111,85.16064444,14.74592898,0,56.80762636
15.64368322,8854.568186,27.67401956,14.75809465,0,74.71471569
13.67633239,8679.591464,43.68505866,14.03078796,0,48.69873914
19.174534,7577.647011,57.84327288,6,0,55.93974507
14.33405261,5296.305735,54.49772365,16.97151716,0,40.58563227
15.36573108,6553.449265,28.55171084,10.06735735,1,29.74725034